ID_Imagem;Status;Palavras;Caracteres;Densidade_Tecnica_%;Termos_Tecnicos_Encontrados;Score_Completude_%;Anomalias
1;SUCESSO;538;3156;3.35;18;12.5;Nenhuma
2;SUCESSO;500;3163;4.0;20;12.5;Nenhuma
3;SUCESSO;487;2999;5.13;25;12.5;Nenhuma
4;SUCESSO;562;3551;4.63;26;87.5;Nenhuma
5;SUCESSO;579;3782;4.49;26;12.5;Nenhuma
6;SUCESSO;621;3830;6.6;41;12.5;Nenhuma
7;SUCESSO;534;3441;4.31;23;12.5;Nenhuma
8;SUCESSO;492;3169;3.86;19;100.0;Nenhuma
9;SUCESSO;472;2946;6.78;32;12.5;Nenhuma
10;SUCESSO;521;3139;6.53;34;12.5;Nenhuma
11;SUCESSO;606;3856;6.27;38;12.5;Nenhuma
12;SUCESSO;562;3409;6.76;38;12.5;Nenhuma
13;SUCESSO;537;3412;2.98;16;100.0;Nenhuma
14;SUCESSO;438;2813;5.71;25;12.5;Nenhuma
15;SUCESSO;464;3151;3.02;14;12.5;Nenhuma
16;SUCESSO;533;3470;6.0;32;12.5;Nenhuma
17;SUCESSO;475;2748;6.53;31;12.5;Nenhuma
18;SUCESSO;532;3577;6.77;36;12.5;Nenhuma
19;SUCESSO;473;3169;4.02;19;12.5;Nenhuma
20;SUCESSO;445;2791;6.52;29;12.5;Nenhuma
21;SUCESSO;462;2940;4.11;19;12.5;Nenhuma
22;SUCESSO;440;2740;4.55;20;12.5;Nenhuma
23;SUCESSO;461;3077;4.12;19;12.5;Nenhuma
24;SUCESSO;421;2875;3.09;13;12.5;Nenhuma
25;SUCESSO;503;3315;2.78;14;12.5;Nenhuma
26;SUCESSO;595;3845;5.04;30;12.5;Nenhuma
27;SUCESSO;533;3387;6.38;34;100.0;Nenhuma
28;SUCESSO;492;3054;6.3;31;12.5;Nenhuma
29;SUCESSO;468;2967;5.98;28;12.5;Nenhuma
30;SUCESSO;548;3613;4.56;25;100.0;Nenhuma
31;SUCESSO;446;2847;4.48;20;12.5;Nenhuma
32;SUCESSO;550;3464;5.64;31;12.5;Nenhuma
33;SUCESSO;486;3255;5.76;28;87.5;Nenhuma
34;SUCESSO;522;3402;4.02;21;87.5;Nenhuma
35;SUCESSO;494;3270;4.05;20;100.0;Nenhuma
36;SUCESSO;502;3110;5.18;26;87.5;Nenhuma
37;SUCESSO;464;2968;4.74;22;87.5;Nenhuma
38;SUCESSO;629;3995;4.77;30;12.5;Nenhuma
39;SUCESSO;413;2644;4.6;19;12.5;Nenhuma
40;SUCESSO;488;3019;3.48;17;12.5;Nenhuma
41;SUCESSO;532;3458;4.14;22;12.5;Nenhuma
42;SUCESSO;486;3113;4.73;23;87.5;Nenhuma
43;SUCESSO;491;3233;6.52;32;12.5;Nenhuma
44;SUCESSO;506;3371;4.94;25;12.5;Nenhuma
45;SUCESSO;431;2874;5.8;25;12.5;Nenhuma
46;SUCESSO;469;3038;5.97;28;12.5;Nenhuma
47;SUCESSO;489;3253;4.5;22;87.5;Nenhuma
48;SUCESSO;552;3521;4.35;24;12.5;Nenhuma
49;SUCESSO;436;2879;4.36;19;12.5;Nenhuma
50;SUCESSO;622;4057;4.34;27;87.5;Nenhuma
51;SUCESSO;507;3272;4.34;22;12.5;Nenhuma
52;SUCESSO;476;3162;4.83;23;87.5;Nenhuma
53;SUCESSO;633;4057;4.42;28;12.5;Nenhuma
54;FALHA_DETECTADA;559;3717;3.04;17;12.5;falha
55;SUCESSO;492;3054;5.28;26;12.5;Nenhuma
56;SUCESSO;561;3575;4.81;27;87.5;Nenhuma
57;SUCESSO;486;3163;4.94;24;12.5;Nenhuma
58;SUCESSO;416;2604;4.81;20;12.5;Nenhuma
59;SUCESSO;532;3512;5.45;29;12.5;Nenhuma
60;SUCESSO;452;2796;5.53;25;12.5;Nenhuma
61;SUCESSO;510;3199;6.86;35;12.5;Nenhuma
62;SUCESSO;495;3097;4.24;21;87.5;Nenhuma
63;SUCESSO;612;3930;4.74;29;100.0;Nenhuma
64;SUCESSO;402;2543;5.72;23;12.5;Nenhuma
65;SUCESSO;525;3498;4.0;21;100.0;Nenhuma
66;SUCESSO;533;3408;5.44;29;87.5;Nenhuma
67;SUCESSO;465;3118;3.01;14;12.5;Nenhuma
68;SUCESSO;634;3756;4.42;28;87.5;Nenhuma
69;SUCESSO;541;3172;2.77;15;12.5;Nenhuma
70;SUCESSO;498;3154;2.41;12;12.5;Nenhuma
71;SUCESSO;507;3101;3.75;19;12.5;Nenhuma
72;SUCESSO;545;3456;2.94;16;12.5;Nenhuma
73;SUCESSO;552;3308;5.25;29;12.5;Nenhuma
74;SUCESSO;458;3070;3.93;18;100.0;Nenhuma
75;SUCESSO;511;3275;3.13;16;12.5;Nenhuma
76;SUCESSO;573;3726;3.14;18;12.5;Nenhuma
77;SUCESSO;458;2892;5.68;26;12.5;Nenhuma
